,location_name,brands,top_category,sub_category,naics_code,latitude,longitude,street_address,city,region,postal_code,open_hours,category_tags,raw_visit_counts,raw_visitor_counts,visits_by_day,poi_cbg,visitor_home_cbgs,visitor_daytime_cbgs,distance_from_home,median_dwell,bucketed_dwell_times,popularity_by_hour,popularity_by_day,device_type,normalized_visits_by_state_scaling,normalized_visits_by_total_visits,normalized_visits_by_total_visitors,normalized_visits_by_region_naics_visits,normalized_visits_by_region_naics_visitors,tier1,normalized_tier1,tier2,normalized_tier2,weekly_minutes_open,weekly_days_open,geometry,dist_to_charger
0,Watertree Dental Care,,Offices of Dentists,Offices of Dentists,621210.0,41.713485,-111.831369,540 W Golf Course Rd,Providence,UT,84332,"{'Mon': [['8:00', '17:00']], 'Tue': [['13:00', '20:00']], 'Wed': [['9:00', '17:00']], 'Thu': [['9:00', '17:00']], 'Fri': [], 'Sat': [], 'Sun': []}",,12,11,"[0,0,0,0,0,2,0,0,1,0,2,0,1,2,0,0,0,1,0,1,0,0,0,0,0,1,0,1,0,0]",490050011011,"{""490050014021"":4,""490050014022"":4,""490050004011"":4}","{""490050014021"":4,""490050004011"":4,""490050013002"":4}",6700.0,63.5,"{'<5': 0, '5-10': 0, '11-20': 0, '21-60': 5, '61-120': 7, '121-240': 0, '>240': 0}","[0,0,0,0,0,0,0,0,0,1,4,8,6,1,3,3,1,0,0,0,0,0,0,0]","{""Monday"":3,""Tuesday"":1,""Wednesday"":4,""Thursday"":3,""Friday"":0,""Saturday"":1,""Sunday"":0}","{""android"":8,""ios"":4}",110.1066041012002,7.774043789374722e-07,2.333740111306674e-06,0.00020169762164887805,0.00035700473031267667,7,64.22885239236679,12,110.1066041012002,1920.0,4.0,POINT (-111.831369 41.713485000000006),2650.3701133773325
1,Big O Tires,Big O Tires,"Automotive Parts, Accessories, and Tire Stores",Automotive Parts and Accessories Stores,441310.0,41.756886,-111.827529,240 E 1400 N,Logan,UT,84341,"{'Mon': [['8:00', '17:30']], 'Tue': [['8:00', '17:30']], 'Wed': [['8:00', '17:30']], 'Thu': [['8:00', '17:30']], 'Fri': [['8:00', '17:30']], 'Sat': [['8:00', '15:00']], 'Sun': []}","Auto Repair,Oil Changes,Tires,Wheel Rim Repair",365,207,"[18,12,8,14,13,17,16,20,11,4,9,6,8,13,13,12,1,22,12,14,11,12,13,0,13,15,16,16,9,17]",490050006002,"{""490050004011"":13,""490050006002"":12,""490050004032"":10,""490050006004"":9,""490050005021"":8,""490050007023"":7,""490050004034"":7,""490050007011"":6,""490050007012"":6,""490050003004"":5,""490050004021"":5,""490050010023"":5,""490050004022"":4,""490050011012"":4,""490050014022"":4,""490339501001"":4,""490050014023"":4,""490050006001"":4,""490050004031"":4,""490050006006"":4,""490050006005"":4,""160419701001"":4,""490050009001"":4,""490050013002"":4,""490039603005"":4,""490050005022"":4,""490050008004"":4,""490039603006"":4,""490050009002"":4,""490050012021"":4,""490050003001"":4,""160419701003"":4,""490050007013"":4,""490050003002"":4,""490572105043"":4,""490050001012"":4,""490050002023"":4,""490050010024"":4,""490050011023"":4,""490039602002"":4,""490050012012"":4,""490050011013"":4}","{""490050004011"":15,""490050006002"":12,""490050004032"":8,""490050002022"":7,""490039603005"":7,""490339501001"":6,""490050004034"":6,""490050005022"":5,""490050003004"":5,""490050006004"":4,""490050005021"":4,""490039602002"":4,""490050007013"":4,""530199701001"":4,""490050011022"":4,""150030014001"":4,""490050009001"":4,""490050003003"":4,""490050004022"":4,""490050005012"":4,""160419701001"":4,""490050007012"":4,""490050006005"":4,""490050002023"":4,""490050003002"":4,""490572112022"":4,""490050007022"":4,""490050007011"":4,""490050001012"":4,""490050003001"":4,""490050002012"":4,""160299601003"":4,""490050010012"":4,""160419701002"":4,""490050014023"":4,""490050006001"":4,""490050011013"":4,""490050013002"":4,""490050004021"":4}",3318.0,11.0,"{'<5': 9, '5-10': 170, '11-20': 42, '21-60': 55, '61-120': 32, '121-240': 26, '>240': 31}","[8,5,5,3,3,2,3,10,33,53,57,69,81,78,64,45,47,41,24,30,19,10,16,9]","{""Monday"":58,""Tuesday"":46,""Wednesday"":55,""Thursday"":56,""Friday"":72,""Saturday"":65,""Sunday"":13}","{""android"":104,""ios"":99}",3349.0758747448394,2.3646049859348116e-05,4.3916745730952864e-05,0.0040778477901416,0.0069712364872607,89,816.6239804172349,144,1321.2792492144024,3270.0,6.0,POINT (-111.827529 41.75688600000001),317.96889291812596
2,S & S Power Inc,,Other Miscellaneous Manufacturing,,3399.0,41.777291,-111.841862,350 W 2500 N,North Logan,UT,84341,,,9,4,"[1,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,1,1,0,1,0,0,0,0,0,0,1,1,1,0]",490050005021,"{""490050002023"":5,""490039602004"":4}",{},,10.0,"{'<5': 0, '5-10': 5, '11-20': 2, '21-60': 1, '61-120': 1, '121-240': 0, '>240': 0}","[1,0,0,0,0,0,1,1,1,2,1,0,0,1,2,0,1,0,1,0,0,0,1,1]","{""Monday"":1,""Tuesday"":0,""Wednesday"":3,""Thursday"":1,""Friday"":3,""Saturday"":0,""Sunday"":1}","{""android"":4,""ios"":0}",82.57995307590015,5.830532842031041e-07,8.486327677478814e-07,5.756205509328251e-05,0.0002068537543956423,1,9.175550341766684,2,18.351100683533367,,,POINT (-111.841862 41.777291),7699.518091765361
3,Bank of Utah Providence,,Depository Credit Intermediation,Commercial Banking,522110.0,41.710542,-111.829569,121 N Gateway Dr,Providence,UT,84332,"{'Mon': [['9:00', '17:30']], 'Tue': [['9:00', '17:30']], 'Wed': [['9:00', '17:30']], 'Thu': [['9:00', '17:30']], 'Fri': [['9:00', '17:30']], 'Sat': [], 'Sun': []}",,50,18,"[3,0,0,2,2,2,2,2,0,0,4,4,2,2,4,0,0,4,2,4,1,2,0,0,0,1,1,3,3,0]",490050011011,"{""490050011011"":4,""490050014012"":4,""490050014011"":4}","{""490050013001"":4,""490050011011"":4,""490050014011"":4,""490050012011"":4}",6315.0,77.5,"{'<5': 1, '5-10': 16, '11-20': 2, '21-60': 6, '61-120': 3, '121-240': 12, '>240': 10}","[0,0,0,0,0,0,0,0,1,2,3,18,19,19,30,20,20,18,2,0,0,0,0,0]","{""Monday"":10,""Tuesday"":9,""Wednesday"":9,""Thursday"":8,""Friday"":14,""Saturday"":0,""Sunday"":0}","{""android"":13,""ios"":6}",458.7775170883342,3.239184912239468e-06,3.818847454865466e-06,0.0014145872234481,0.002291685764048,25,229.3887585441671,31,284.4420605947672,2550.0,5.0,POINT (-111.829569 41.710542000000004),3791.886794783265
4,Stucky Chiropractic,,Offices of Other Health Practitioners,Offices of Chiropractors,621310.0,41.636622,-111.832092,130 N 800 E,Hyrum,UT,84319,,Chiropractors,50,29,"[0,1,0,3,4,0,0,2,0,0,1,3,2,3,5,0,0,5,1,4,0,2,0,0,3,3,3,0,5,0]",490050014013,"{""490050013001"":5,""490050011011"":4,""490050014013"":4}","{""490050008003"":5,""490050002011"":4,""490050012013"":4,""490532708012"":4,""490050015002"":4,""490050011011"":4,""490050014012"":4}",8794.0,25.0,"{'<5': 1, '5-10': 14, '11-20': 3, '21-60': 26, '61-120': 3, '121-240': 3, '>240': 0}","[2,4,4,4,1,0,0,0,1,5,12,13,9,3,3,9,7,2,4,0,0,0,0,1]","{""Monday"":12,""Tuesday"":11,""Wednesday"":9,""Thursday"":3,""Friday"":14,""Saturday"":1,""Sunday"":0}","{""android"":15,""ios"":13}",458.7775170883342,3.239184912239468e-06,6.15258756617214e-06,0.0007742814667988107,0.0015465990287358,6,55.0533020506001,32,293.6176109365339,,,POINT (-111.832092 41.636622),30638.31560148054
5,Alpine Church,,Religious Organizations,Religious Organizations,813110.0,41.724269,-111.83571,395 S Main St,Logan,UT,84321,,Churches,81,52,"[0,0,8,2,0,0,5,0,1,10,1,4,3,3,7,0,15,1,1,2,4,0,0,10,0,0,1,3,0,0]",490050010022,"{""490050003004"":6,""490050004021"":5,""490050006002"":5,""490050010023"":4,""490050010011"":4,""490050007022"":4,""490050005013"":4,""490050006001"":4,""490050004034"":4}","{""490050003004"":7,""490050012021"":5,""490050005022"":4,""490572105112"":4,""490050002012"":4,""490050007022"":4,""490572112023"":4,""490050005013"":4,""490050006001"":4,""490050010023"":4,""490050001011"":4,""490050008001"":4,""490050002011"":4,""490050003001"":4,""490050012022"":4,""490050011011"":4,""490039601002"":4}",3608.0,59.0,"{'<5': 0, '5-10': 4, '11-20': 3, '21-60': 35, '61-120': 32, '121-240': 6, '>240': 1}","[0,0,0,0,0,0,0,0,7,16,31,34,20,7,1,0,0,5,14,13,6,3,1,0]","{""Monday"":4,""Tuesday"":5,""Wednesday"":6,""Thursday"":15,""Friday"":7,""Saturday"":1,""Sunday"":43}","{""android"":29,""ios"":26}",743.2195776831014,5.247479557827937e-06,1.103222598072246e-05,0.00037518064253158926,0.0008418033297998378,39,357.84646332890065,74,678.9907252907346,,,POINT (-111.83571 41.724269),1557.3284847497252
6,Joyride Bikes,,"Sporting Goods, Hobby, and Musical Instrument Stores",Sporting Goods Stores,451110.0,41.730276,-111.835377,65 S Main St,Logan,UT,84321,,"Bike Rentals,Bikes",22,19,"[3,0,0,2,1,0,0,2,1,0,0,0,2,1,1,1,0,0,1,0,1,3,1,0,0,0,0,0,1,1]",490050010021,"{""160419701002"":4}","{""160419701002"":6,""490050005022"":4,""490050011022"":4,""490050012012"":4,""490050011013"":4,""490050012011"":4}",4593.0,14.5,"{'<5': 1, '5-10': 8, '11-20': 6, '21-60': 6, '61-120': 0, '121-240': 1, '>240': 0}","[1,0,0,0,0,0,0,0,0,0,0,5,5,3,1,6,0,1,5,2,1,0,0,0]","{""Monday"":2,""Tuesday"":2,""Wednesday"":2,""Thursday"":2,""Friday"":10,""Saturday"":4,""Sunday"":0}","{""android"":10,""ios"":9}",201.86210751886705,1.4252413613853656e-06,4.031005646802436e-06,0.00010501042944492442,0.00016344603680507573,1,9.175550341766684,7,64.22885239236679,,,POINT (-111.835377 41.73027599999999),1785.7420155043403
7,McGregor Reed Chiropractor,,Offices of Other Health Practitioners,Offices of Chiropractors,621310.0,41.751377,-111.787468,1124 Circle View Dr,Logan,UT,84341,,Chiropractors,10,8,"[4,0,0,2,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0]",490050007011,{},"{""490050005012"":4,""490050002022"":4,""490050004032"":4}",2833.0,35.5,"{'<5': 1, '5-10': 3, '11-20': 0, '21-60': 2, '61-120': 2, '121-240': 2, '>240': 0}","[0,0,0,0,0,0,0,0,0,0,0,0,0,3,4,2,5,1,0,0,0,3,2,2]","{""Monday"":3,""Tuesday"":0,""Wednesday"":0,""Thursday"":2,""Friday"":5,""Saturday"":0,""Sunday"":0}","{""android"":4,""ios"":0}",91.75550341766684,6.478369824478935e-07,1.6972655354957627e-06,0.00015485629335976214,0.000309319805747162,4,36.702201367066735,6,55.0533020506001,,,POINT (-111.787468 41.75137700000001),5894.078650155752
8,SMR Chiropractic,,Offices of Other Health Practitioners,Offices of Chiropractors,621310.0,41.756908,-111.817903,630 E 1400 N,Logan,UT,84341,"{'Mon': [['9:00', '18:00']], 'Tue': [['15:00', '18:00']], 'Wed': [['9:00', '18:00']], 'Thu': [['15:00', '18:00']], 'Fri': [['9:00', '13:00']], 'Sat': [], 'Sun': []}",Chiropractors,14,14,"[0,0,0,1,0,1,2,2,0,0,2,0,1,0,0,0,1,0,0,0,2,0,0,0,0,0,1,1,0,0]",490050006001,"{""490050013002"":4,""490050007023"":4,""490050014021"":4,""490050004033"":4}","{""490339501002"":5,""490399724004"":4,""490050014022"":4}",13831.0,24.0,"{'<5': 0, '5-10': 2, '11-20': 2, '21-60': 8, '61-120': 1, '121-240': 1, '>240': 0}","[0,0,0,0,0,0,0,1,0,1,1,2,2,3,4,5,2,1,0,0,0,0,0,0]","{""Monday"":3,""Tuesday"":0,""Wednesday"":3,""Thursday"":5,""Friday"":2,""Saturday"":0,""Sunday"":1}","{""android"":4,""ios"":8}",128.45770478473358,9.069717754270508e-07,2.9702146871175847e-06,0.000216798810703667,0.0004330477280460268,2,18.351100683533367,10,91.75550341766683,1680.0,5.0,POINT (-111.817903 41.756907999999996),625.9025253511355
9,O'Reilly Auto Parts,O'Reilly Auto Parts,"Automotive Parts, Accessories, and Tire Stores",Automotive Parts and Accessories Stores,441310.0,41.714394,-111.834232,906 S Main St,Logan,UT,84321,"{'Mon': [['7:30', '21:00']], 'Tue': [['7:30', '21:00']], 'Wed': [['7:30', '21:00']], 'Thu': [['7:30', '21:00']], 'Fri': [['7:30', '21:00']], 'Sat': [['7:30', '21:00']], 'Sun': [['9:00', '19:30']]}","Batteries,Tires,Oil Changes,Hardware and Tools,Auto Parts",181,82,"[8,3,4,12,6,2,9,3,5,3,5,4,9,3,5,7,2,12,10,6,3,6,9,5,8,7,8,3,6,8]",490050011011,"{""490050012021"":7,""490050011011"":7,""490050014021"":5,""490050014022"":5,""490050005014"":4,""490050010023"":4,""490050004022"":4,""490050010011"":4,""490050012011"":4,""490050012013"":4,""490039607022"":4,""160719601001"":4,""490050011013"":4,""490050003003"":4,""490050014012"":4,""490050012022"":4,""490050001022"":4,""490050009001"":4}","{""490050014012"":7,""490050014021"":7,""490039605002"":6,""490050003003"":5,""490050012022"":5,""490050009001"":4,""490111251032"":4,""490050004032"":4,""490050011013"":4,""160299601002"":4,""490050010024"":4,""160079501001"":4,""490050008003"":4,""490050014022"":4,""490050003004"":4,""490050011022"":4,""490050014023"":4,""490050013001"":4,""490050014013"":4}",8353.0,11.0,"{'<5': 12, '5-10': 76, '11-20': 23, '21-60': 38, '61-120': 21, '121-240': 11, '>240': 0}","[0,0,0,0,0,0,0,5,2,19,23,18,16,26,22,28,41,41,18,10,6,0,0,0]","{""Monday"":37,""Tuesday"":27,""Wednesday"":25,""Thursday"":18,""Friday"":28,""Saturday"":32,""Sunday"":14}","{""android"":52,""ios"":32}",1660.7746118597695,1.1725849382306872e-05,1.739697173883157e-05,0.0020221656164812,0.0034569693265594,32,293.6176109365338,70,642.2885239236678,5490.0,7.0,POINT (-111.834232 41.71439399999999),2343.476930115761
