Fuel Type Code,Station Name,Street Address,Intersection Directions,City,State,ZIP,Plus4,Station Phone,Status Code,Expected Date,Groups With Access Code,Access Days Time,Cards Accepted,BD Blends,NG Fill Type Code,NG PSI,EV Level1 EVSE Num,EV Level2 EVSE Num,EV DC Fast Count,EV Other Info,EV Network,EV Network Web,Geocode Status,Latitude,Longitude,Date Last Confirmed,ID,Updated At,Owner Type Code,Federal Agency ID,Federal Agency Name,Open Date,Hydrogen Status Link,NG Vehicle Class,LPG Primary,E85 Blender Pump,EV Connector Types,Country,Intersection Directions (French),Access Days Time (French),BD Blends (French),Groups With Access Code (French),Hydrogen Is Retail,Access Code,Access Detail Code,Federal Agency Code,Facility Type,CNG Dispenser Num,CNG On-Site Renewable Source,CNG Total Compression Capacity,CNG Storage Capacity,LNG On-Site Renewable Source,E85 Other Ethanol Blends,EV Pricing,EV Pricing (French),LPG Nozzle Types,Hydrogen Pressures,Hydrogen Standards,CNG Fill Type Code,CNG PSI,CNG Vehicle Class,LNG Vehicle Class,EV On-Site Renewable Source,Restricted Access
CNG,Jordan School District,8370 S 4300 W,4300 W.,West Jordan,UT,84088,,801-567-8820,E,,Private - Fleet customers only,Fleet customers may contact the station for fueling access,,,Q,3000,,,,,,,200-8,40.599413,-111.993532,12/9/2021,523,2022-02-10 19:42:29 UTC,SG,,,7/1/2008,,HD,,,,US,,,,Privé - Réservé aux clients de parcs,,private,FLEET,,SCHOOL,,NONE,30.0,,,,,,,,,Q,3000,HD,,,
CNG,Questar Gas - Salt Lake City,1150 W 200 S,200 S,Salt Lake City,UT,84104,,800-323-5517,E,,Public - Credit card at all times,24 hours daily,GasCard M V Wright_Exp,,Q,3000 3600,,,,,,,200-8,40.764976,-111.922291,4/6/2022,528,2022-04-06 14:08:04 UTC,T,,,12/15/1996,,HD,,,,US,,,,Public - Carte de crédit en tout temps,,public,CREDIT_CARD_ALWAYS,,STANDALONE_STATION,3.0,,700.0,,,,,,,,,Q,3000 3600,HD,,,False
CNG,Questar Gas - LW's Conoco,1050 W 200 N,"Main St in Logan, west on 2nd N, and 10 blocks west",Logan,UT,84321,,435-753-7461,E,,Public - Credit card at all times,24 hours daily,GasCard M V Wright_Exp,,Q,3600,,,,,,,200-9,41.734633,-111.861488,4/6/2022,548,2022-04-06 14:08:04 UTC,P,,,12/15/1996,,HD,,,,US,,,,Public - Carte de crédit en tout temps,,public,CREDIT_CARD_ALWAYS,,CONVENIENCE_STORE,1.0,,25.0,,,,,,,,,Q,3600,HD,,,False
CNG,Dominion Energy - Market Express Sinclair,850 S Carbon Ave,Exit 241/ US-6,Price,UT,84501,,435-637-4002,E,,Public - Credit card at all times,24 hours daily,Comdata D GasCard M Proprietor V Wright_Exp,,Q,3600,,,,,,,200-9,39.586805,-110.813433,4/6/2022,558,2022-04-06 14:08:04 UTC,P,,,12/15/1996,,HD,,,,US,,,,Public - Carte de crédit en tout temps,,public,CREDIT_CARD_ALWAYS,,CONVENIENCE_STORE,1.0,,150.0,,,,,,,,,Q,3600,HD,,,False
CNG,Questar Gas - Chevron,1375 N Main St,"Take I-70, then take exit 40, and the station is on the right",Richfield,UT,84701,,435-896-8352,E,,Public - Credit card at all times,24 hours daily,Comdata GasCard M V Wright_Exp,,Q,3000,,,,,,,200-9,38.786621,-112.084147,4/6/2022,569,2022-04-06 14:08:04 UTC,P,,,12/15/1996,,HD,,,,US,,,,Public - Carte de crédit en tout temps,,public,CREDIT_CARD_ALWAYS,,GAS_STATION,1.0,,150.0,,,,,,,,,Q,3000,HD,,,False
CNG,Questar Gas - Flying J Travel Plaza - Springville,1460 N 1750 W,"I-15, exit 261",Springville,UT,84663,,801-489-3622,E,,Public - Credit card at all times,24 hours daily,Comdata GasCard M V Wright_Exp,,Q,3600,,,,,,,200-9,40.187357,-111.640443,4/6/2022,23211,2022-04-06 14:08:04 UTC,P,,,9/15/2003,,HD,,,,US,,,,Public - Carte de crédit en tout temps,,public,CREDIT_CARD_ALWAYS,,TRUCK_STOP,1.0,,400.0,,,,,,,,,Q,3600,HD,,,False
CNG,Questar Gas - 7-Eleven,7953 S Airport Rd,,West Jordan,UT,84088,,801-280-6687,E,,Public - Credit card at all times,24 hours daily,GasCard M V Wright_Exp,,Q,3600,,,,,,,200-9,40.607539,-111.996214,4/6/2022,23212,2022-04-06 14:08:04 UTC,P,,,9/15/2003,,HD,,,,US,,,,Public - Carte de crédit en tout temps,,public,CREDIT_CARD_ALWAYS,,CONVENIENCE_STORE,2.0,,400.0,,,,,,,,,Q,3600,HD,,,False
CNG,Salt Lake City International Airport,600 N 3700 W,"I-80, airport exit",Salt Lake City,UT,84116,,,E,,Public - Credit card at all times,24 hours daily,GasCard M V Wright_Exp,,Q,3600,,,,,,,200-8,40.781373,-111.979973,4/6/2022,23213,2022-04-06 14:08:04 UTC,P,,,9/15/2003,,HD,,,,US,,,,Public - Carte de crédit en tout temps,,public,CREDIT_CARD_ALWAYS,,AIRPORT,2.0,,400.0,,,,,,,,,Q,3600,HD,,,False
CNG,Utah State University,900 E 1400 N,,Logan,UT,84341,,,E,,Private - Government only,,FuelMan GasCard Wright_Exp,,Q,3600,,,,,,,200-8,41.757045,-111.810695,12/9/2021,23215,2022-02-10 19:42:29 UTC,SG,,,9/15/2003,,HD,,,,US,,,,Privé - Réservé au gouvernement,,private,GOVERNMENT,,COLLEGE_CAMPUS,1.0,NONE,200.0,30000.0,,,,,,,,Q,3600,HD,,,
CNG,Dominion Energy - City of Murray,4646 S 500 W,Exit 301/I-15,Murray,UT,84123,,800-323-5517,E,,Public - Credit card at all times,24 hours daily,GasCard M V Wright_Exp,,Q,3000 3600,,,,,,,200-9,40.671518,-111.906969,4/6/2022,23219,2022-04-06 14:08:04 UTC,LG,,,9/15/2003,,HD,,,,US,,,,Public - Carte de crédit en tout temps,,public,CREDIT_CARD_ALWAYS,,STANDALONE_STATION,2.0,,120.0,,,,,,,,,Q,3000 3600,HD,,,False
CNG,Dominion Energy - Sinclair,524 N 1500 W,Exit 272 off I-15,Orem,UT,84057,,801-373-7970,E,,Public - Credit card at all times,24 hours daily,A D GasCard M Proprietor V Wright_Exp,,Q,3000,,,,,,,200-9,40.306765,-111.730637,4/6/2022,28177,2022-04-06 14:08:04 UTC,P,,,11/15/2005,,HD,,,,US,,,,Public - Carte de crédit en tout temps,,public,CREDIT_CARD_ALWAYS,,GAS_STATION,2.0,,,,,,,,,,,Q,3000,HD,,,False
CNG,Questar Gas - LW's Travel Plaza,1674 W 1100 S,Exit 362 off I-15,Perry,UT,84302,,800-323-5517,E,,Public - Credit card at all times,24 hours daily,Comdata GasCard M V Wright_Exp,,Q,3600,,,,,,,200-8,41.485609,-112.057813,4/6/2022,33204,2022-04-06 14:08:04 UTC,P,,,8/15/2008,,HD,,,,US,,,,Public - Carte de crédit en tout temps,,public,CREDIT_CARD_ALWAYS,,TRAVEL_CENTER,1.0,,,,,,,,,,,Q,3600,HD,,,False
CNG,Questar Gas - RB's Fuel Stop - Phillips 66,527 S 700 W,Exit 316 off I-15,Woods Cross,UT,84087,,801-295-3241,E,,Public - Credit card at all times,24 hours daily,GasCard M V Wright_Exp,,Q,3000 3600,,,,,,,200-9,40.883673,-111.898809,4/6/2022,33205,2022-04-06 14:08:04 UTC,P,,,4/25/2006,,HD,,,,US,,,,Public - Carte de crédit en tout temps,,public,CREDIT_CARD_ALWAYS,,CONVENIENCE_STORE,2.0,,,,,,,,,,,Q,3000 3600,HD,,,False
CNG,City of Ogden,175 W 29th St,29th St.,Ogden,UT,84401,,,E,,Private - Government only,,,,B,3000 3600,,,,,,,200-8,41.212364,-111.980122,2/15/2021,35140,2022-01-03 17:37:25 UTC,LG,,,5/1/2012,,HD,,,,US,,,,Privé - Réservé au gouvernement,,private,GOVERNMENT,,MUNI_GOV,,,400.0,,,,,,,,,B,3000 3600,HD,,,
CNG,Questar Gas - Chevron,40 N 6300 W,Exit 16 / I-15,Hurricane,UT,84737,,435-628-4858,E,,Public - Credit card at all times,24 hours daily,Comdata GasCard M V Wright_Exp,,Q,3600,,,,,,,200-9,37.161682,-113.434692,4/6/2022,35385,2022-04-06 14:08:04 UTC,P,,,10/15/2009,,HD,,,,US,,,,Public - Carte de crédit en tout temps,,public,CREDIT_CARD_ALWAYS,,CONVENIENCE_STORE,2.0,,30.0,,,,,,,,,Q,3600,HD,,,False
CNG,Semi-Service,4285 W 1385 S,,Salt Lake City,UT,84104,,800-442-6687  801-521-0360,E,,Public - Credit card at all times,24 hours daily,A D GasCard M V Wright_Exp,,Q,3000 3600,,,,,,,200-9,40.739411,-111.992133,4/6/2022,35699,2022-04-06 14:08:04 UTC,P,,,5/15/2010,,HD,,,,US,,,,Public - Carte de crédit en tout temps,,public,CREDIT_CARD_ALWAYS,,STANDALONE_STATION,2.0,NONE,,,,,,,,,,Q,3000 3600,HD,,,False
CNG,Dominion Energy - Moab Service Center,2450 S Highway 191,,Moab,UT,84532,,800-323-5517,E,,Public - Credit card at all times,24 hours daily,GasCard M V Wright_Exp,,Q,3600,,,,,,,200-8,38.536757,-109.511772,4/6/2022,35786,2022-04-06 14:08:04 UTC,T,,,6/1/2008,,MD,,,,US,,,,Public - Carte de crédit en tout temps,,public,CREDIT_CARD_ALWAYS,,UTILITY,1.0,,,,,,,,,,,Q,3600,MD,,,False
CNG,Christensen Oil - Sinclair,334 E Riverside Dr,"I-15, exit 6 (Bluff St Exit). After exiting freeway, turn east on E Riverside Rd. Go 0.3 miles. Station is on the right (south) side of road. CNG pump is to the east of the gas/diesel pumps, toward the motel",St. George,UT,84790,,435-674-7699,E,,Public - Credit card at all times,24 hours daily,A D GasCard M V Wright_Exp,,Q,3000 3600,,,,,,,200-9,37.081594,-113.576795,4/6/2022,35787,2022-04-06 14:08:04 UTC,T,,,7/15/2010,,HD,,,,US,,,,Public - Carte de crédit en tout temps,,public,CREDIT_CARD_ALWAYS,,CONVENIENCE_STORE,2.0,,,,,,,,,,,Q,3000 3600,HD,,,False
CNG,Pilot - Naples,1521 S 1500 E,,Naples,UT,84078,,435-789-1832,E,,Public - Credit card at all times,24 hours daily,GasCard M V Wright_Exp,,Q,3000 3600,,,,,,,200-9,40.43341,-109.498603,4/6/2022,35907,2022-04-06 14:08:04 UTC,P,,,7/15/2010,,HD,,,,US,,,,Public - Carte de crédit en tout temps,,public,CREDIT_CARD_ALWAYS,,CONVENIENCE_STORE,4.0,NONE,,,,,,,,,,Q,3000 3600,HD,,,False
CNG,Questar Gas - Flying J Travel Plaza,1172 W 2100 S,"I-15, exit 343",Ogden,UT,84401,,801-399-5577,E,,Public - Credit card at all times,24 hours daily,Comdata M V Wright_Exp,,Q,3000 3600,,,,,,,200-8,41.229309,-112.00741,4/6/2022,35936,2022-04-06 14:08:04 UTC,T,,,6/1/2010,,HD,,,,US,,,,Public - Carte de crédit en tout temps,,public,CREDIT_CARD_ALWAYS,,TRUCK_STOP,1.0,,,,,,,,,,,Q,3000 3600,HD,,,False
CNG,Questar Gas - Flying J Travel Plaza - Scipio,810 N 800 W,Exit 88 off I-15,Scipio,UT,84656,,435-758-2345,E,,Public - Credit card at all times,24 hours daily,Comdata GasCard M V Wright_Exp,,Q,3000 3600,,,,,,,GPS,39.255065,-112.116282,4/8/2021,36312,2022-03-23 20:38:06 UTC,P,,,9/15/2010,,HD,,,,US,,,,Public - Carte de crédit en tout temps,,public,CREDIT_CARD_ALWAYS,,TRUCK_STOP,2.0,,,,,,,,,,,Q,3000 3600,HD,,,False
