Fuel Type Code,Station Name,Street Address,Intersection Directions,City,State,ZIP,Plus4,Station Phone,Status Code,Expected Date,Groups With Access Code,Access Days Time,Cards Accepted,BD Blends,NG Fill Type Code,NG PSI,EV Level1 EVSE Num,EV Level2 EVSE Num,EV DC Fast Count,EV Other Info,EV Network,EV Network Web,Geocode Status,Latitude,Longitude,Date Last Confirmed,ID,Updated At,Owner Type Code,Federal Agency ID,Federal Agency Name,Open Date,Hydrogen Status Link,NG Vehicle Class,LPG Primary,E85 Blender Pump,EV Connector Types,Country,Intersection Directions (French),Access Days Time (French),BD Blends (French),Groups With Access Code (French),Hydrogen Is Retail,Access Code,Access Detail Code,Federal Agency Code,Facility Type,CNG Dispenser Num,CNG On-Site Renewable Source,CNG Total Compression Capacity,CNG Storage Capacity,LNG On-Site Renewable Source,E85 Other Ethanol Blends,EV Pricing,EV Pricing (French),LPG Nozzle Types,Hydrogen Pressures,Hydrogen Standards,CNG Fill Type Code,CNG PSI,CNG Vehicle Class,LNG Vehicle Class,EV On-Site Renewable Source,Restricted Access
E85,Nebraska Department of Transportation,302 Superior St,,Lincoln,NE,68521,,,E,,Private - Government only,,,,,,,,,,,,200-8,40.856204,-96.717819,3/7/2022,1436,2022-03-07 19:49:53 UTC,SG,,,9/15/1993,,,,TRUE,,US,,,,Privé - Réservé au gouvernement,,private,GOVERNMENT,,STATE_GOV,,,,,,"[""E15""]",,,,,,,,,,,
E85,Nebraska Transportation Services Bureau - Dispatch Building,M St & Centennial Mall S,At motor pool behind state parking garage.,Lincoln,NE,68508,,,E,,Private - Government only,,,,,,,,,,,,GPS,40.811394,-96.699689,3/7/2022,1437,2022-03-07 19:49:53 UTC,SG,,,1/15/1993,,,,TRUE,,US,,,,Privé - Réservé au gouvernement,,private,GOVERNMENT,,STATE_GOV,,,,,,"[""E15""]",,,,,,,,,,,
E85,Nebraska Department of Transportation,3305 Old Potash Hwy,At intersection of US Highway 30 and 281.,Grand Island,NE,68803,,,E,,Private - Government only,,,,,,,,,,,,200-8,40.91701,-98.379743,3/7/2022,1441,2022-03-07 19:49:53 UTC,SG,,,9/15/1993,,,,TRUE,,US,,,,Privé - Réservé au gouvernement,,private,GOVERNMENT,,STATE_GOV,,,,,,"[""E15""]",,,,,,,,,,,
E85,Sioux Valley Co-op - Cenex,220 10th St NW,On Highway 20 at 3rd Street NW,Watertown,SD,57201,,605-886-5829,E,,Public - Credit card after hours,"7am-6pm M-F, 7am-5pm Sat",A Cash Checks D M V Voyager Wright_Exp,,,,,,,,,,200-9,44.904113,-97.130798,9/14/2022,1447,2022-09-14 15:49:44 UTC,P,,,11/15/1993,,,,TRUE,,US,,,,Public - Carte de crédit après les heures d'ouverture,,public,CREDIT_CARD_AFTER_HOURS,,COOP,,,,,,"[""E30-E35""]",,,,,,,,,,,FALSE
E85,F&M Co-op Oil,45316 Highway 34,At Highway 81,Madison,SD,57042,,605-256-4516,E,,Public - Credit card after hours,"6am-10pm M-Sat, 8am-10pm Sun",A Cash D M V Wright_Exp,,,,,,,,,,200-8,44.00769,-97.146785,8/10/2022,1451,2022-08-10 13:32:10 UTC,P,,,11/15/1993,,,,TRUE,,US,,,,Public - Carte de crédit après les heures d'ouverture,,public,CREDIT_CARD_AFTER_HOURS,,COOP,,,,,,"[""E20-E25"", ""E30-E35""]",,,,,,,,,,,FALSE
E85,Nebraska Department of Transportation,5001 S 14th St,At Highway 2.,Lincoln,NE,68512,,,E,,Private - Government only,,,,,,,,,,,,200-8,40.762848,-96.701622,3/7/2022,1459,2022-03-07 19:49:53 UTC,SG,,,9/15/1993,,,,TRUE,,US,,,,Privé - Réservé au gouvernement,,private,GOVERNMENT,,STATE_GOV,,,,,,"[""E15""]",,,,,,,,,,,
E85,Texaco - Highway 34 Truckstop,4305 W Mount Pleasant St,At Highway 406 and 34,West Burlington,IA,52655,,319-752-3894,E,,Public,24 hours daily,A Cash D FuelMan M V Voyager Wright_Exp,,,,,,,,,,200-9,40.825493,-91.208355,3/7/2022,1479,2022-03-07 19:49:53 UTC,P,,,1/15/1990,,,,FALSE,,US,,,,Public,,public,,,TRUCK_STOP,,,,,,,,,,,,,,,,,FALSE
E85,Conoco - Convenient Food Mart,3714 W Truman Blvd,Off of Highway 50.,Jefferson City,MO,65109,,573-893-3278,E,,Public - Credit card after hours,5:30am-12am daily,A Cash D M V,,,,,,,,,,200-9,38.588189,-92.255887,6/7/2021,1480,2022-06-14 16:22:30 UTC,P,,,1/15/2006,,,,TRUE,,US,,,,Public - Carte de crédit après les heures d'ouverture,,public,CREDIT_CARD_AFTER_HOURS,,CONVENIENCE_STORE,,,,,,"[""E30-E35"", ""E40-Plus""]",,,,,,,,,,,FALSE
E85,Flying J,4200 N I-90 Service Rd,Exit 61,Rapid City,SD,57709,,605-342-5450,E,,Public,24 hours daily,A Cash D M V Voyager Wright_Exp,,,,,,,,,,200-9,44.103769,-103.14969,8/10/2022,1487,2022-08-10 13:32:10 UTC,P,,,6/15/2005,,,,FALSE,,US,,,,Public,,public,,,CONVENIENCE_STORE,,,,,,,,,,,,,,,,,FALSE
E85,Kwik Trip #334,1271 N River Dr,Intersection of Highways 14 and 169,Mankato,MN,56001,,507-625-4190,E,,Public,24 hours daily,A ANDROID_PAY APPLE_PAY Cash Checks Comdata CREDIT D EFS FleetOne FuelMan M TCH Tchek V Voyager Wright_Exp,,,,,,,,,,200-9,44.18791,-94.012676,5/5/2022,6219,2022-05-05 20:22:04 UTC,P,,,6/15/1997,,,,TRUE,,US,,,,Public,,public,,,CONVENIENCE_STORE,,,,,,"[""E15""]",,,,,,,,,,,FALSE
