Fuel Type Code,Station Name,Street Address,Intersection Directions,City,State,ZIP,Plus4,Station Phone,Status Code,Expected Date,Groups With Access Code,Access Days Time,Cards Accepted,BD Blends,NG Fill Type Code,NG PSI,EV Level1 EVSE Num,EV Level2 EVSE Num,EV DC Fast Count,EV Other Info,EV Network,EV Network Web,Geocode Status,Latitude,Longitude,Date Last Confirmed,ID,Updated At,Owner Type Code,Federal Agency ID,Federal Agency Name,Open Date,Hydrogen Status Link,NG Vehicle Class,LPG Primary,E85 Blender Pump,EV Connector Types,Country,Intersection Directions (French),Access Days Time (French),BD Blends (French),Groups With Access Code (French),Hydrogen Is Retail,Access Code,Access Detail Code,Federal Agency Code,Facility Type,CNG Dispenser Num,CNG On-Site Renewable Source,CNG Total Compression Capacity,CNG Storage Capacity,LNG On-Site Renewable Source,E85 Other Ethanol Blends,EV Pricing,EV Pricing (French),LPG Nozzle Types,Hydrogen Pressures,Hydrogen Standards,CNG Fill Type Code,CNG PSI,CNG Vehicle Class,LNG Vehicle Class,EV On-Site Renewable Source,Restricted Access
ELEC,Liberty Park,520 E,520 East. Liberty Park west side loop. Road parking stall near the north end of the tennis courts,Salt Lake City,UT,84119,,801-535-6630,E,,Public,24 hours daily; maximum session time of 4 hours,,,,,,4.0,,,Non-Networked,,GPS,40.74686,-111.876,12/9/2021,37655,2022-02-10 19:42:29 UTC,LG,,,12/15/2010,,,,,J1772,US,,,,Public,,public,,,PARK,,,,,,,Free,,,,,,,,,,False
ELEC,Salt Lake City Main Library,210 E 400 S,Level P2 of library parking garage.  Stalls in southeast corner.,Salt Lake City,UT,84111,,(801) 524-8200,E,,Public,7:30am-10pm daily; pay lot; maximum session time of 4 hours; Drivers must bring their own J1772 cordset for Level 1 charging,,,,,2.0,1.0,,,Non-Networked,,200-9,40.759561,-111.883924,2/15/2021,37658,2022-02-10 21:00:18 UTC,LG,,,2/15/2011,,,,,J1772 NEMA520,US,,,,Public,,public,,,LIBRARY,,,,,,,Free,,,,,,,,,,False
ELEC,American Bush - Solar Canopy,2630 S 300 W,Located across from Tire World,Salt Lake City,UT,84115,,801-518-3529,E,,Public,24 hours daily,,,,,,4.0,,,Non-Networked,,200-9,40.714413,-111.900552,11/4/2021,42013,2022-02-10 19:42:29 UTC,P,,,12/1/2011,,,,,J1772,US,,,,Public,,public,,,OTHER_ENTERTAINMENT,,,,,,,Free,,,,,,,,,SOLAR,False
ELEC,Utah Paper Box,920 S 700 W,,Salt Lake City,UT,84101,,,E,,Public,Gate is closed on weekends,,,,,,7.0,,,Non-Networked,,200-8,40.749027,-111.911084,12/9/2021,47407,2022-02-10 19:42:29 UTC,P,,,3/20/2012,,,,,J1772,US,,,,Public,,public,,,OFFICE_BLDG,,,,,,,,,,,,,,,,SOLAR,True
ELEC,Tim Dahle Nissan,4528 S State St,,Murray,UT,84107,,801-262-5521  855-900-7584,E,,Public - Call ahead,Dealership business hours,,,,,,2.0,1.0,,Non-Networked,,200-9,40.672936,-111.889147,3/7/2022,47541,2022-03-07 19:49:53 UTC,P,,,1/31/2012,,,,,CHADEMO J1772 J1772COMBO,US,,,,Public - Appeler à l'avance,,public,CALL,,CAR_DEALER,,,,,,,Free,,,,,,,,,,False
ELEC,Tim Dahle Nissan,4528 S State St,,Murray,UT,84107,,801-262-5521  855-900-7584,E,,Private,,,,,,,1.0,,,Non-Networked,,200-9,40.672936,-111.889147,3/7/2022,47542,2022-03-07 19:49:53 UTC,P,,,1/31/2012,,,,,J1772,US,,,,Privé,,private,,,CAR_DEALER,,,,,,,Free,,,,,,,,,,
ELEC,Tim Dahle Nissan,955 N 400 E,,North Salt Lake,UT,84054,,801-693-7100  855-900-7584,E,,Public - Call ahead,Dealership business hours,,,,,,1.0,1.0,,Non-Networked,,200-9,40.858562,-111.902958,3/7/2022,47543,2022-03-07 19:49:53 UTC,P,,,1/31/2012,,,,,CHADEMO J1772 J1772COMBO,US,,,,Public - Appeler à l'avance,,public,CALL,,CAR_DEALER,,,,,,,Free,,,,,,,,,,False
ELEC,Tim Dahle Nissan,955 N 400 E,,North Salt Lake,UT,84054,,801-693-7100  855-900-7584,E,,Private,,,,,,,1.0,,,Non-Networked,,200-9,40.858562,-111.902958,3/7/2022,47544,2022-03-07 19:49:53 UTC,P,,,1/31/2012,,,,,J1772,US,,,,Privé,,private,,,CAR_DEALER,,,,,,,Free,,,,,,,,,,
ELEC,Wilson Nissan,328 N Main St,,Logan,UT,84321,,435-752-7335,E,,Public - Call ahead,Dealership business hours,,,,,,1.0,,,Non-Networked,,200-9,41.737713,-111.834442,6/9/2020,49742,2021-03-11 23:22:17 UTC,P,,,10/25/2012,,,,,J1772,US,,,,Public - Appeler à l'avance,,public,CALL,,CAR_DEALER,,,,,,,Free,,,,,,,,,,False
ELEC,Wilson Nissan,328 N Main St,,Logan,UT,84321,,435-752-7335,E,,Private,,,,,,,1.0,,,Non-Networked,,200-9,41.737713,-111.834442,6/9/2020,49743,2021-03-11 23:22:17 UTC,P,,,10/25/2012,,,,,J1772,US,,,,Privé,,private,,,CAR_DEALER,,,,,,,Free,,,,,,,,,,
ELEC,Ken Garff Nissan - Riverdale,615 W Riverdale Rd,,Riverdale,UT,84405,,,E,,Public - Call ahead,Dealership business hours; contact 801-781-4500 for more information,,,,,,3.0,1.0,,Non-Networked,,GPS,41.179728,-111.994029,3/7/2022,49744,2022-03-07 19:49:53 UTC,P,,,10/25/2012,,,,,CHADEMO J1772 J1772COMBO,US,,,,Public - Appeler à l'avance,,public,CALL,,CAR_DEALER,,,,,,,Free,,,,,,,,,,False
