State,Enacted Date,Technology Categories
US,2005-08-10 00:00:00 UTC,bd|e85|elec|hy|IR|cng|elec|lpg
US,2000-02-10 00:00:00 UTC,OTHER
US,2005-08-10 00:00:00 UTC,hy|cng|OTHER|lpg
US,2005-08-08 00:00:00 UTC,bd
US,1992-10-24 00:00:00 UTC,bd|e85|elec|hy|cng|elec|lpg
US,2005-08-08 00:00:00 UTC,EFFEC
US,1992-10-24 00:00:00 UTC,bd|e85|elec|EFFEC|hy|cng|elec|lpg
US,1992-10-24 00:00:00 UTC,bd|e85|elec|EFFEC|elec|hy|cng|elec|lpg
US,1992-10-24 00:00:00 UTC,bd|e85|elec|hy|cng|elec|lpg
US,2002-05-13 00:00:00 UTC,bd|e85
US,2002-05-13 00:00:00 UTC,bd|e85
US,2005-08-10 00:00:00 UTC,bd|e85|elec|hy|cng|elec|lpg
US,1975-12-22 00:00:00 UTC,EFFEC
US,2005-08-10 00:00:00 UTC,bd|e85|elec|EFFEC|hy|cng|OTHER|elec|lpg
US,2011-04-08 00:00:00 UTC,|e85|elec|cng|elec|lpg
US,2005-08-08 00:00:00 UTC,bd|e85|RD
US,1992-10-24 00:00:00 UTC,bd|e85|elec|hy|cng|elec|lpg
US,2005-08-08 00:00:00 UTC,bd|e85|elec|hy|cng|elec|lpg
US,2004-10-22 00:00:00 UTC,bd|RD
US,2004-10-22 00:00:00 UTC,bd|RD
US,1970-05-21 00:00:00 UTC,hy|cng|lpg
US,2005-08-10 00:00:00 UTC,hy|cng|lpg
US,2008-10-03 00:00:00 UTC,elec|hy|elec
US,2008-10-03 00:00:00 UTC,IR
US,2007-12-17 00:00:00 UTC,elec|EFFEC|elec
US,2005-08-10 00:00:00 UTC,cng|OTHER|lpg
US,2009-09-22 00:00:00 UTC,OTHER
US,2009-10-28 00:00:00 UTC,elec|hy|elec
AZ,2016-01-01 00:00:00 UTC,elec|hy
AZ,2018-04-25 00:00:00 UTC,elec|hy|cng|elec|lpg
CO,2016-05-04 00:00:00 UTC,|elec|hy|cng|elec|lpg
IL,2004-08-12 00:00:00 UTC,elec
IL,1993-08-20 00:00:00 UTC,cng|lpg
OR,2005-06-14 00:00:00 UTC,bd|e85|elec|EFFEC|hy|IR|cng|elec|lpg
OR,2005-06-15 00:00:00 UTC,bd|e85|elec|hy|cng|elec|lpg
VA,2013-04-03 00:00:00 UTC,bd|e85|elec|hy|cng|elec|lpg
GA,2015-07-01 00:00:00 UTC,elec
GA,2009-11-05 00:00:00 UTC,|elec|hy|cng|elec|lpg
ND,2003-01-01 00:00:00 UTC,e85
OR,2001-01-01 00:00:00 UTC,elec|cng
WI,1993-08-10 00:00:00 UTC,bd|e85|elec|hy|cng|elec|lpg
OH,1993-09-27 00:00:00 UTC,|bd|e85|elec|hy|cng|elec|lpg
CA,2006-09-29 00:00:00 UTC,elec|hy|cng|elec
ID,2007-03-02 00:00:00 UTC,bd
AZ,2013-01-01 00:00:00 UTC,elec|hy|cng|elec|lpg
MI,1995-05-24 00:00:00 UTC,elec|cng|lpg
MO,2011-05-05 00:00:00 UTC,elec|hy|cng|lpg
MO,1998-07-10 00:00:00 UTC,bd|e85|elec|hy|cng|elec|lpg
OK,2013-05-29 00:00:00 UTC,cng|OTHER|lpg
NC,2006-01-01 00:00:00 UTC,bd|e85|elec|hy|cng|elec|lpg
CA,2013-10-11 00:00:00 UTC,bd|e85|elec|hy|cng|elec|lpg
IL,2003-06-11 00:00:00 UTC,bd|e85
IL,1998-02-06 00:00:00 UTC,bd|e85
MI,2002-10-17 00:00:00 UTC,bd|e85|elec|hy|cng|elec|lpg
NJ,2004-05-01 00:00:00 UTC,elec
NJ,2004-01-14 00:00:00 UTC,OTHER
PA,2004-01-01 00:00:00 UTC,elec|hy|cng|elec|lpg
ND,2011-04-25 00:00:00 UTC,bd|e85|RD
ND,2008-04-11 00:00:00 UTC,bd|e85|cng|lpg
SC,2006-05-30 00:00:00 UTC,NEVS
RI,2005-08-22 00:00:00 UTC,bd|e85|elec|EFFEC|elec|hy|cng|elec|lpg
DC,2017-01-01 00:00:00 UTC,elec
NC,2005-09-20 00:00:00 UTC,bd|e85|elec|cng|elec|lpg
IL,2005-07-28 00:00:00 UTC,bd
CA,2005-07-21 00:00:00 UTC,hy
HI,2006-06-26 00:00:00 UTC,bd|e85
HI,2006-06-26 00:00:00 UTC,bd|e85|elec|hy|cng|elec|lpg
IA,2011-05-26 00:00:00 UTC,bd
