Fuel Type Code,Station Name,Street Address,Intersection Directions,City,State,ZIP,Plus4,Station Phone,Status Code,Expected Date,Groups With Access Code,Access Days Time,Cards Accepted,BD Blends,NG Fill Type Code,NG PSI,EV Level1 EVSE Num,EV Level2 EVSE Num,EV DC Fast Count,EV Other Info,EV Network,EV Network Web,Geocode Status,Latitude,Longitude,Date Last Confirmed,ID,Updated At,Owner Type Code,Federal Agency ID,Federal Agency Name,Open Date,Hydrogen Status Link,NG Vehicle Class,LPG Primary,E85 Blender Pump,EV Connector Types,Country,Intersection Directions (French),Access Days Time (French),BD Blends (French),Groups With Access Code (French),Hydrogen Is Retail,Access Code,Access Detail Code,Federal Agency Code,Facility Type,CNG Dispenser Num,CNG On-Site Renewable Source,CNG Total Compression Capacity,CNG Storage Capacity,LNG On-Site Renewable Source,E85 Other Ethanol Blends,EV Pricing,EV Pricing (French),LPG Nozzle Types,Hydrogen Pressures,Hydrogen Standards,CNG Fill Type Code,CNG PSI,CNG Vehicle Class,LNG Vehicle Class,EV On-Site Renewable Source,Restricted Access
LNG,Phoenix Public Transit Department - South Facility,2225 W Lower Buckeye Rd,LCNG facility,Phoenix,AZ,85009,,,E,,Private - Government only,,,,,,,,,,,,200-9,33.42027,-112.106234,11/4/2021,4999,2022-10-28 21:31:54 UTC,LG,,,1/15/1996,,HD,,,,US,,,,Privé - Réservé au gouvernement,,private,GOVERNMENT,,FLEET_GARAGE,,,,,NONE,,,,,,,,,,HD,,
LNG,Clean Energy - Los Angeles International Airport,7350 World Way W,,Los Angeles,CA,90045,,,E,,Private - Government only,,,,,,,,,,,,GPS,33.941974,-118.420055,11/4/2021,5049,2022-08-30 23:26:09 UTC,LG,,,5/15/1997,,HD,,,,US,,,,Privé - Réservé au gouvernement,,private,GOVERNMENT,,AIRPORT,,,,,,,,,,,,,,,HD,,
LNG,Clean Energy - Los Angeles County Sanitation District,2800 Workman Mill Rd,LCNG station,Whittier,CA,90601,,562-908-4288  562-493-2804,E,,Public - Credit card at all times,24 hours daily; call 866-809-4869 for Clean Energy card,CleanEnergy D M V Voyager Wright_Exp,,,,,,,,,,200-9,34.025657,-118.031019,8/4/2021,21986,2022-08-30 23:26:09 UTC,LG,,,6/15/2003,,HD,,,,US,,,,Public - Carte de crédit en tout temps,,public,CREDIT_CARD_ALWAYS,,MUNI_GOV,,,,,NONE,,,,,,,,,,HD,,FALSE
LNG,Phoenix Public Transit Department - North Facility,2010 W Desert Cove Ave,LCNG facility,Phoenix,AZ,85029,,,E,,Private - Government only,,,,,,,,,,,,200-9,33.587052,-112.101538,11/4/2021,23460,2022-10-28 21:32:03 UTC,LG,,,1/15/1996,,HD,,,,US,,,,Privé - Réservé au gouvernement,,private,GOVERNMENT,,FLEET_GARAGE,,,,,NONE,,,,,,,,,,HD,,
LNG,Waste Management - Alameda County,172 98th Ave,LCNG Facility. Intersection of Bigge St,Oakland,CA,94603,,,E,,Private,,,,,,,,,,,,200-9,37.727763,-122.192533,5/6/2021,23471,2022-06-14 16:22:47 UTC,P,,,10/15/2003,,HD,,,,US,,,,Privé,,private,,,FLEET_GARAGE,,,,,,,,,,,,,,,HD,,
LNG,Waste Management - Long Beach Hauling,1970 E 213th St,LCNG Facility. At Wilmington Ave.,Long Beach,CA,90810,,,E,,Private,,,,,,,,,,,,200-9,33.834788,-118.234664,5/6/2021,23473,2022-06-14 16:22:47 UTC,P,,,5/15/2003,,HD,,,,US,,,,Privé,,private,,,STANDALONE_STATION,,,,,,,,,,,,,,,HD,,
LNG,Clean Energy - City of Tulare,3989 S K St,"South on Hwy 99, exit at Paige going west, 1 mile to South K St, go 1 mile south; LCNG station",Tulare,CA,93274,,866-809-4869,E,,Public - Credit card at all times,24 hours daily; call 866-809-4869 for Clean Energy card,A CleanEnergy Comdata D FleetOne FuelMan M V Voyager Wright_Exp,,,,,,,,,,200-9,36.169487,-119.338155,9/10/2021,23480,2022-08-30 23:26:09 UTC,LG,,,5/15/1996,,HD,,,,US,,,,Public - Carte de crédit en tout temps,,public,CREDIT_CARD_ALWAYS,,MUNI_GOV,,,,,NONE,,,,,,,,,,HD,,FALSE
LNG,City of Los Angeles - West Valley,8840 Vanalden Ave,At Parthenia. LCNG facility.,Northridge,CA,91324,,,E,,Private - Government only,,,,,,,,,,,,200-8,34.232569,-118.549408,7/14/2021,23482,2022-06-16 17:01:51 UTC,LG,,,10/15/2004,,HD,,,,US,,,,Privé - Réservé au gouvernement,,private,GOVERNMENT,,MUNI_GOV,,,,,NONE,,,,,,,,,,HD,,
LNG,Burrtec Waste,9820 Cherry Ave,,Fontana,CA,92335,,,E,,Private,,,,,,,,,,,,200-8,34.075208,-117.488947,10/11/2022,23483,2022-10-11 18:56:12 UTC,P,,,4/30/2013,,HD,,,,US,,,,Privé,,private,,,FLEET_GARAGE,,,,,,,,,,,,,,,HD,,
LNG,County of Sacramento,4450 Roseville Rd,,North Highlands,CA,95660,,,E,,Private - Government only,,,,,,,,,,,,200-9,38.649062,-121.391311,8/4/2021,23491,2022-02-10 19:42:29 UTC,LG,,,6/15/2004,,HD,,,,US,,,,Privé - Réservé au gouvernement,,private,GOVERNMENT,,MUNI_GOV,,,,,NONE,,,,,,,,,,HD,,
LNG,City of Redlands,1270 W Park Ave,LCNG facility. Between Kansas and Tennessee on Park Ave.,Redlands,CA,92373,,909-798-7567  909-747-7657,E,,Private - Fleet customers only,Contact station to set up fueling account,A D M V Voyager Wright_Exp,,,,,,,,,,200-8,34.059452,-117.201618,7/14/2021,23493,2022-02-10 19:42:29 UTC,LG,,,10/31/2016,,HD,,,,US,,,,Privé - Réservé aux clients de parcs,,private,FLEET,,MUNI_GOV,,,,,,,,,,,,,,,HD,,
LNG,TruStar Energy - City of Long Beach,2600 Temple Ave,At intersection of Temple Ave and Willow St.,Long Beach,CA,90806,,,E,,Private - Government only,,,,,,,,,,,,200-8,33.806189,-118.158713,8/10/2022,23494,2022-08-10 13:32:10 UTC,LG,,,8/15/2003,,HD,,,,US,,,,Privé - Réservé au gouvernement,,private,GOVERNMENT,,MUNI_GOV,,,,,NONE,,,,,,,,,,HD,,
LNG,Norcal Waste - Recology San Francisco,501 Tunnel Ave,,San Francisco,CA,94134,,,E,,Private,,,,,,,,,,,,200-9,37.708724,-122.397035,11/4/2021,23498,2022-08-30 23:26:09 UTC,P,,,6/15/2004,,HD,,,,US,,,,Privé,,private,,,STANDALONE_STATION,,,,,,,,,,,,,,,HD,,
LNG,Waste Management - Lancaster Hauling,1205 W City Ranch Rd,LCNG Facility. Tierra Subida and West City Ranch Rd.,Palmdale,CA,93551,,,E,,Private,,,,,,,,,,,,GPS,34.570009,-118.149825,5/6/2021,23500,2022-06-14 16:22:47 UTC,P,,,1/15/2001,,HD,,,,US,,,,Privé,,private,,,FLEET_GARAGE,,,,,,,,,,,,,,,HD,,
LNG,Republic Services,1930 Walters Ct,Walters Rd,Fairfield,CA,94533,,,E,,Private,,,,,,,,,,,,200-9,38.270365,-121.991521,11/4/2021,23501,2022-08-30 23:26:09 UTC,P,,,5/15/2003,,HD,,,,US,,,,Privé,,private,,,STANDALONE_STATION,,,,,,,,,,,,,,,HD,,
LNG,City of Los Angeles - East Valley,11050 Pendleton St,At Glenoaks. LCNG facility.,Sun Valley,CA,91352,,,E,,Private - Government only,,,,,,,,,,,,200-9,34.238744,-118.370919,7/14/2021,23502,2022-06-16 17:01:51 UTC,LG,,,4/30/2003,,HD,,,,US,,,,Privé - Réservé au gouvernement,,private,GOVERNMENT,,MUNI_GOV,,,,,NONE,,,,,,,,,,HD,,
LNG,City of Sacramento - Meadowview City Service Center,2812 Meadowview Rd,Between I-5 and Highway 99.,Sacramento,CA,95832,,,E,,Private - Government only,,,,,,,,,,,,200-9,38.480697,-121.47495,12/9/2021,23509,2022-07-18 15:42:08 UTC,LG,,,1/15/2002,,HD,,,,US,,,,Privé - Réservé au gouvernement,,private,GOVERNMENT,,MUNI_GOV,,,,,,,,,,,,,,,HD,,
LNG,City of Los Angeles - South Los Angeles,786 S Mission Rd,At E 7th St. LCNG station.,Los Angeles,CA,90033,,,E,,Private - Government only,,,,,,,,,,,,200-8,34.032695,-118.225351,7/14/2021,27980,2022-06-16 17:01:51 UTC,LG,,,10/15/2006,,HD,,,,US,,,,Privé - Réservé au gouvernement,,private,GOVERNMENT,,MUNI_GOV,,,,,NONE,,,,,,,,,,HD,,
LNG,Victor Valley Transit Authority,100 N Sandstone Ct,"LCNG station. I-15 to Highway 58, right on W Main St, left on Sandstone Ct.",Barstow,CA,92311,,760-948-4021,E,,Public - Card key at all times,24 hours daily; customers must have a Fleetstar card to pay for LNG,,,,,,,,,,,200-9,34.886448,-117.079423,12/9/2021,32051,2022-02-10 19:42:29 UTC,LG,,,6/15/2006,,HD,,,,US,,,,Public - Carte-clé en tout temps,,public,KEY_ALWAYS,,MUNI_GOV,,,,,NONE,,,,,,,,,,HD,,FALSE
LNG,Phoenix Public Transit Department - West Facility,405 N 79th Ave,LCNG facility,Phoenix,AZ,85043,,,E,,Private - Government only,,,,,,,,,,,,200-9,33.453642,-112.227428,11/4/2021,33137,2022-10-28 21:31:47 UTC,LG,,,12/3/2007,,HD,,,,US,,,,Privé - Réservé au gouvernement,,private,GOVERNMENT,,FLEET_GARAGE,,,,,NONE,,,,,,,,,,HD,,
LNG,City of Tempe - East Valley Bus Operation and Maintenance Facility,2050 W Rio Salado Pkwy,LCNG facility.,Tempe,AZ,85281,,,E,,Private - Government only,,,,,,,,,,,,200-9,33.430143,-111.972274,1/10/2022,33138,2022-10-31 17:00:12 UTC,LG,,,8/15/2007,,HD,,,,US,,,,Privé - Réservé au gouvernement,,private,GOVERNMENT,,MUNI_GOV,,,,,NONE,,,,,,,,,,HD,,
LNG,Clean Energy - Riverside County Waste Management,1810 Agua Mansa Rd,LCNG station,Riverside,CA,92509,,866-809-4869,E,,Public - Credit card at all times,24 hours daily; call 866-809-4869 for Clean Energy card,A CleanEnergy Comdata D EFS FleetOne FuelMan M TCH V Voyager Wright_Exp,,,,,,,,,,200-8,34.02094,-117.385415,10/11/2022,34319,2022-10-11 18:56:12 UTC,LG,,,5/15/2002,,HD,,,,US,,,,Public - Carte de crédit en tout temps,,public,CREDIT_CARD_ALWAYS,,STANDALONE_STATION,,,,,NONE,,,,,,,,,,HD,,FALSE
LNG,City of Los Angeles - North Central,452 N San Fernando Rd,At Pasadena Ave. LCNG station.,Los Angeles,CA,90031,,,E,,Private - Government only,,,,,,,,,,,,200-8,34.079374,-118.224411,7/14/2021,34479,2022-06-16 17:01:51 UTC,LG,,,4/1/2011,,HD,,,,US,,,,Privé - Réservé au gouvernement,,private,GOVERNMENT,,MUNI_GOV,,,,,NONE,,,,,,,,,,HD,,
LNG,Clean Energy - Port of Long Beach,3400 I St,At intersection of W Anaheim St & E I St; LCNG station.,Wilmington,CA,90744,,866-809-4869,E,,Public - Credit card at all times,24 hours daily; call 866-809-4869 for Clean Energy card,CleanEnergy D FuelMan M V Voyager Wright_Exp,,,,,,,,,,GPS,33.78311,-118.222,9/10/2021,35074,2022-08-30 23:26:09 UTC,P,,,7/15/2009,,HD,,,,US,,,,Public - Carte de crédit en tout temps,,public,CREDIT_CARD_ALWAYS,,STANDALONE_STATION,,,,,NONE,,,,,,,,,,HD,,FALSE
LNG,Waste Management - Corona Hauling,800 S Temescal St,,Corona,CA,92879,,,E,,Private,,,,,,,,,,,,200-9,33.870495,-117.527006,6/14/2022,36569,2022-06-14 16:26:02 UTC,P,,,10/1/2011,,HD,,,,US,,,,Privé,,private,,,STANDALONE_STATION,,,,,,,,,,,,,,,HD,,
LNG,Noil Energy,1234 W Cowles St,"710 Freeway to Anaheim West, take the first right on Harbor Ave, then the first right on Cowles St",Long Beach,CA,90813,,562-491-1228,E,,Public,24 hours daily,Cash Checks D M V,,,,,,,,,,200-9,33.784395,-118.208062,7/14/2021,36571,2022-02-10 19:42:29 UTC,P,,,5/9/2018,,HD,,,,US,,,,Public,,public,,,CONVENIENCE_STORE,,,,,NONE,,,,,,,,,,HD,,FALSE
LNG,Clean Energy - Dillon Transport,4600 Irving Blvd,LCNG station,Dallas,TX,75247,,866-809-4869,E,,Public - Credit card at all times,24 hours daily; call 866-809-4869 for Clean Energy card; Also accepts PFGiftCard,A CleanEnergy Comdata D EFS FleetOne FuelMan M TCH Tchek V Voyager Wright_Exp,,,,,,,,,,200-9,32.80764,-96.896592,9/10/2021,38488,2022-08-30 23:26:09 UTC,P,,,10/8/2012,,HD,,,,US,,,,Public - Carte de crédit en tout temps,,public,CREDIT_CARD_ALWAYS,,STANDALONE_STATION,,,,,NONE,,,,,,,,,,HD,,FALSE
LNG,Clean Energy - Baytown Flying J #725,1876 East Fwy,I-10 and Exit 789 Thompson Rd,Baytown,TX,77521,,562-493-2804  866-809-4869,E,,Public - Credit card at all times,24 hours daily; call 866-809-4869 for Clean Energy card; Also accepts PFGiftCard,A CleanEnergy Comdata D EFS FleetOne FuelMan M TCH V Voyager Wright_Exp,,,,,,,,,,200-9,29.794833,-95.033387,8/4/2021,40841,2022-08-30 23:26:09 UTC,P,,,8/15/2011,,HD,,,,US,,,,Public - Carte de crédit en tout temps,,public,CREDIT_CARD_ALWAYS,,TRAVEL_CENTER,,,,,NONE,,,,,,,,,,HD,,FALSE
LNG,Clean Energy - Seville Flying J #13,8924 Lake Rd,,Seville,OH,44273,,866-809-4869,T,6/15/2022,TEMPORARILY UNAVAILABLE (Public - Credit card at all times),24 hours daily; call 866-809-4869 for Clean Energy card,A CleanEnergy Comdata D EFS FuelMan M Speedway TCH Tchek V Voyager Wright_Exp,,,,,,,,,,200-9,41.029746,-81.906863,11/4/2021,41690,2022-08-30 23:26:09 UTC,P,,,,,HD,,,,US,,,,TEMPORAIREMENT SUSPENDU (Public - Carte de crédit en tout temps),,public,CREDIT_CARD_ALWAYS,,TRAVEL_CENTER,,,,,,,,,,,,,,,HD,,FALSE
LNG,Clean Energy - Houston Flying J #729,15915 N Fwy,"I-45, exit 64 and Richey Rd",Houston,TX,77090,,866-809-4869,T,6/15/2022,TEMPORARILY UNAVAILABLE (Public - Credit card at all times),24 hours daily; call 866-809-4869 for Clean Energy card,A CleanEnergy Comdata D EFS FuelMan M Speedway TCH Tchek V Voyager Wright_Exp,,,,,,,,,,200-9,29.999132,-95.428762,11/4/2021,42599,2022-08-30 23:26:09 UTC,P,,,,,HD,,,,US,,,,TEMPORAIREMENT SUSPENDU (Public - Carte de crédit en tout temps),,public,CREDIT_CARD_ALWAYS,,TRAVEL_CENTER,,,,,,,,,,,,,,,HD,,FALSE
