Fuel Type Code,Station Name,Street Address,Intersection Directions,City,State,ZIP,Plus4,Station Phone,Status Code,Expected Date,Groups With Access Code,Access Days Time,Cards Accepted,BD Blends,NG Fill Type Code,NG PSI,EV Level1 EVSE Num,EV Level2 EVSE Num,EV DC Fast Count,EV Other Info,EV Network,EV Network Web,Geocode Status,Latitude,Longitude,Date Last Confirmed,ID,Updated At,Owner Type Code,Federal Agency ID,Federal Agency Name,Open Date,Hydrogen Status Link,NG Vehicle Class,LPG Primary,E85 Blender Pump,EV Connector Types,Country,Intersection Directions (French),Access Days Time (French),BD Blends (French),Groups With Access Code (French),Hydrogen Is Retail,Access Code,Access Detail Code,Federal Agency Code,Facility Type,CNG Dispenser Num,CNG On-Site Renewable Source,CNG Total Compression Capacity,CNG Storage Capacity,LNG On-Site Renewable Source,E85 Other Ethanol Blends,EV Pricing,EV Pricing (French),LPG Nozzle Types,Hydrogen Pressures,Hydrogen Standards,CNG Fill Type Code,CNG PSI,CNG Vehicle Class,LNG Vehicle Class,EV On-Site Renewable Source,Restricted Access
LPG,AmeriGas,1020 S Highway 118,"I-70, take S Richfield exit, east to stop sign. North to McDonald's west side",Richfield,UT,84701,,435-896-5071,T,3/6/2022,TEMPORARILY UNAVAILABLE (Public - Call ahead),8am-5pm M-F,A Cash D M V,,,,,,,,,,GPS,38.75449,-112.086348,11/4/2021,14629,2022-02-10 19:42:29 UTC,P,,,7/8/1999,,,False,,,US,,,,TEMPORAIREMENT SUSPENDU (Public - Appeler à l'avance),,public,CALL,,FUEL_RESELLER,,,,,,,,,"[""ACME""]",,,,,,,,False
LPG,Miller Gas Co,1420 W Main St,"Take exit 40, east 2 miles",Tremonton,UT,84337,,435-257-5107,E,,Public,"7:30am-5:30pm M-F, 8am-12pm Sat",A Cash D M V,,,,,,,,,,200-9,41.711475,-112.187957,11/4/2021,15657,2022-10-12 11:11:50 UTC,P,,,7/8/1999,,,True,,,US,,,,Public,,public,,,FUEL_RESELLER,,,,,,,,,"[""ACME""]",,,,,,,,False
LPG,Tooele RV & Auto Repair,70 E 1100 N,Just off Main St,Tooele,UT,84074,,435-882-2676,E,,Public,"9am-6pm M-F, 9am-1pm Sat",Cash D M V,,,,,,,,,,200-9,40.55255,-112.296188,11/4/2021,17607,2022-10-12 01:26:30 UTC,P,,,7/19/1999,,,False,,,US,,,,Public,,public,,,GAS_STATION,,,,,,,,,"[""ACME""]",,,,,,,,False
LPG,U-Haul,5305 S State St,East of I-15,Salt Lake City,UT,84107,,801-262-8958,E,,Public,"7am-7pm M-Th and Sat, 7am-8pm F, 9am-5pm Sun",A Cash Checks D M V,,,,,,,,,,200-9,40.655728,-111.887747,3/7/2022,20388,2022-03-07 19:49:53 UTC,P,,,11/1/2000,,,True,,,US,,,,Public,,public,,,RENTAL_CAR_RETURN,,,,,,,,,"[""ACME"", ""QUICK_CONNECT""]",,,,,,,,False
LPG,U-Haul,415 W 2100 S,Off I-15,Salt Lake City,UT,84115,,801-487-6231,E,,Public,"7am-7pm M-Th and Sat, 7am-8pm F, 9am-5pm Sun",A Cash Checks D M V,,,,,,,,,,GPS,40.725184,-111.902655,6/7/2021,20390,2021-10-04 16:17:22 UTC,P,,,11/1/2000,,,True,,,US,,,,Public,,public,,,RENTAL_CAR_RETURN,,,,,,,,,"[""QUICK_CONNECT"", ""ACME""]",,,,,,,,False
LPG,U-Haul,4690 S 4000 W,West of I-215,West Valley City,UT,84120,,801-966-6312,E,,Public,"7am-7pm M-Th and Sat, 7am-8pm F, 9am-5pm Sun",A Cash Checks D M V,,,,,,,,,,200-9,40.667924,-111.986981,6/7/2021,20392,2021-10-04 16:17:22 UTC,P,,,11/1/2000,,,False,,,US,,,,Public,,public,,,RENTAL_CAR_RETURN,,,,,,,,,"[""QUICK_CONNECT"", ""ACME""]",,,,,,,,False
LPG,U-Haul,3421 Wall Ave S,At 36th,Ogden,UT,84401,,801-392-5349,E,,Public,"7am-7pm M-Th and Sat, 7am-8pm F, 9am-5pm Sun",A Cash Checks D Debit M V,,,,,,,,,,200-9,41.201538,-111.981369,12/9/2021,20393,2022-02-22 14:31:10 UTC,P,,,11/1/2000,,,False,,,US,,,,Public,,public,,,RENTAL_CAR_RETURN,,,,,,,,,"[""ACME"", ""QUICK_CONNECT""]",,,,,,,,False
LPG,U-Haul,551 W Columbia Ln,,Provo,UT,84604,,801-374-6911,E,,Public,"7am-7pm M-Th and Sat, 7am-8pm F, 9am-5pm Sun",A Cash Checks D M V,,,,,,,,,,200-9,40.250645,-111.668981,6/7/2021,20394,2021-10-04 16:17:22 UTC,P,,,11/1/2000,,,True,,,US,,,,Public,,public,,,RENTAL_CAR_RETURN,,,,,,,,,"[""QUICK_CONNECT"", ""ACME""]",,,,,,,,False
LPG,Utah LP Gas,1940 N Redwood Rd,,Salt Lake City,UT,84116,,801-355-4201,E,,Public - Call ahead,7:30am-4pm M-F,Cash Checks M V,,,,,,,,,,200-9,40.810611,-111.937435,11/4/2021,21085,2022-10-28 16:09:40 UTC,P,,,9/13/2001,,,False,,,US,,,,Public - Appeler à l'avance,,public,CALL,,FUEL_RESELLER,,,,,,,,,"[""ACME""]",,,,,,,,False
LPG,Slim Olson's,2600 S Main St,Woods Cross exit off of I-15,Bountiful,UT,84010,,801-295-3421 x17,E,,Public,7am-10pm daily,A Cash Checks D M V,,,,,,,,,,200-8,40.861884,-111.896345,11/4/2021,21088,2022-10-12 11:11:15 UTC,P,,,9/13/2001,,,True,,,US,,,,Public,,public,,,FUEL_RESELLER,,,,,,,,,"[""ACME""]",,,,,,,,False
